	id	url	simply_words_count	simply_software_stat	simply_bug_stat	simply_collocations	simply_is_news
0	28	http://www.manoramaonline.com/health/health-news/job-related-mental-problem.html	2017	{'device': 1, 'fix': 2}	{'error': 2}	[]	True
1	39	http://www.gallowaygazette.co.uk/news/survey-reveals-scotland-s-top-five-nuisance-calls-of-2016-1-4323086	3060	{'application': 1, 'device': 2}	{'error': 1, 'problem': 2}	['problem The device']	True
2	51	http://www.perthnow.com.au/sport/football/brisbane-roar-extend-unbeaten-run-with-draw-against-western-sydney-wanderers/news-story/519993bee472092c2d6d1b440d704e9a	3323	{'device': 3, 'fix': 1}	{'error': 12}	[]	True
3	82	http://www.perthnow.com.au/entertainment/movies/will-red-dog-prequel-nip-at-the-heels-of-rogue-one-moana-and-la-la-land/news-story/74355e1088193c2194409e755c66ce64	3480	{'device': 3, 'fix': 1}	{'error': 12}	[]	True
4	88	http://www.cumbernauld-news.co.uk/news/survey-reveals-scotland-s-top-five-nuisance-calls-of-2016-1-4323086	3021	{'application': 1, 'device': 2}	{'error': 1, 'problem': 2}	['problem The device']	True
5	89	http://www.jornalpf.com.br/nas-bancas-12/	2060	{'program': 3, 'computer': 2, 'application': 2, 'server': 1}	{'problem': 3}	[]	True
6	113	http://www.manoramaonline.com/health/health-news/pottassium-bromate-banned-in-india.html	2013	{'device': 1, 'fix': 2}	{'error': 2}	[]	True
7	115	http://agoraphilia.blogspot.com/2012/07/penn-states-punishment-and-social-facts.html	4040	{'program': 1, 'fix': 6}	{'error': 2, 'mistake': 2}	[]	True
8	126	http://www.thenakedscientists.com/podcasts/special/problem-childbirth	1178	{'update': 2}	{'problem': 2}	[]	True
9	128	http://www.cio.com/article/3152851/careers-staffing/how-zuckerberg-became-fortunes-businessperson-of-the-year.html	4638	{'technology': 4, 'program': 4, 'algorithm': 1, 'technical': 3, 'server': 1}	{'error': 2, 'problem': 2}	[]	True
10	134	http://www.manoramaonline.com/health/health-news/hair-fixing-surgery-tragedy.html	2007	{'device': 1, 'fix': 2}	{'error': 2}	[]	True
11	142	http://www.cio.com/article/3152580/outsourcing/new-accounting-standards-change-the-rules-of-it-leasing.html	4643	{'software': 1, 'hardware': 1, 'technology': 3, 'server': 1}	{'error': 2, 'problem': 2}	[]	True
12	157	http://www.cio.com/article/3153066/it-industry/the-tech-we-didn-t-talk-about-in-2016-but-should-have.html	4735	{'technology': 3, 'fix': 1, 'server': 4}	{'error': 2, 'problem': 1}	[]	True
13	162	http://www.manoramaonline.com/health/health-news/mobile-phones-dont-up-brain-cancer-risk.html	1887	{'device': 1, 'fix': 2}	{'error': 2}	[]	True
14	194	http://www.manoramaonline.com/health/health-news/stem-cell.html	2101	{'device': 1, 'fix': 2}	{'error': 2}	[]	True
15	204	http://www.manoramaonline.com/health/health-news/over-use-of-potatoes-cause-blood-pressure.html	2005	{'device': 1, 'fix': 2}	{'error': 2}	[]	True
16	213	http://www.manoramaonline.com/health/health-news/zika-who-suggests-for-delay-pregnancy.html	2008	{'device': 1, 'fix': 2}	{'error': 2}	[]	True
17	225	http://www.manoramaonline.com/health/health-news/parents-abandon-conjoined-teens.html	2003	{'device': 1, 'fix': 2}	{'error': 2}	[]	True
18	236	http://agoraphilia.blogspot.com/2013/09/breaking-bad-and-healthcare-system.html	3511	{'fix': 6}	{'problem': 2}	[]	True
19	237	http://www.manoramaonline.com/health/health-news/detect-stroke-with-signs.html	2088	{'device': 1, 'fix': 2}	{'error': 2}	[]	True
